Date,Open,High,Low,Close,Adj Close,Volume
2022-06-15,2800.000000,2810.000000,2760.000000,2780.000000,2779.961182,879500
2022-06-16,2780.000000,2820.000000,2780.000000,2810.000000,2809.960693,242800
2022-06-17,2800.000000,2810.000000,2770.000000,2800.000000,2799.960938,360400
2022-06-20,2800.000000,2820.000000,2790.000000,2810.000000,2809.960693,229300
2022-06-21,2800.000000,2850.000000,2800.000000,2840.000000,2839.960449,478300
2022-06-22,2860.000000,2890.000000,2830.000000,2850.000000,2849.960205,299800
2022-06-23,2850.000000,2870.000000,2840.000000,2850.000000,2849.960205,376800
2022-06-24,2850.000000,2890.000000,2840.000000,2860.000000,2859.960205,290200
2022-06-27,2870.000000,2930.000000,2860.000000,2870.000000,2869.959961,741300
2022-06-28,2880.000000,2900.000000,2860.000000,2870.000000,2869.959961,423800
2022-06-29,2870.000000,2880.000000,2850.000000,2860.000000,2859.960205,301200
2022-06-30,2870.000000,2870.000000,2800.000000,2800.000000,2799.960938,1199700
2022-07-01,2800.000000,2800.000000,2770.000000,2780.000000,2779.961182,732100
2022-07-04,2780.000000,2780.000000,2720.000000,2750.000000,2749.961670,929700
2022-07-05,2750.000000,2820.000000,2730.000000,2800.000000,2799.960938,381000
2022-07-06,2800.000000,2820.000000,2730.000000,2740.000000,2739.961670,517900
2022-07-07,2740.000000,2780.000000,2740.000000,2770.000000,2769.961426,440900
2022-07-08,2780.000000,2790.000000,2770.000000,2780.000000,2779.961182,125800
2022-07-11,2780.000000,2800.000000,2760.000000,2780.000000,2779.961182,128300
2022-07-12,2810.000000,2840.000000,2760.000000,2820.000000,2819.960693,419000
2022-07-13,2850.000000,2870.000000,2770.000000,2790.000000,2789.961182,190000
2022-07-14,2790.000000,2790.000000,2620.000000,2750.000000,2749.961670,993500
2022-07-15,2750.000000,2750.000000,2680.000000,2690.000000,2689.962402,766800
2022-07-18,2690.000000,2690.000000,2660.000000,2690.000000,2689.962402,194700
2022-07-19,2690.000000,2730.000000,2680.000000,2720.000000,2719.962158,579700
2022-07-20,2730.000000,2780.000000,2720.000000,2760.000000,2759.961426,249100
2022-07-21,2760.000000,2790.000000,2740.000000,2770.000000,2769.961426,579500
2022-07-22,2770.000000,2870.000000,2750.000000,2830.000000,2829.960449,2390500
2022-07-25,2830.000000,2860.000000,2830.000000,2850.000000,2849.960205,767800
2022-07-26,2850.000000,2860.000000,2810.000000,2850.000000,2849.960205,434300
2022-07-27,2850.000000,2900.000000,2810.000000,2890.000000,2889.959717,401000
2022-07-28,2890.000000,2940.000000,2890.000000,2940.000000,2939.958984,1448200
2022-07-29,3000.000000,3040.000000,2960.000000,2970.000000,2969.958496,1840700
2022-08-01,2970.000000,3040.000000,2970.000000,3000.000000,2999.958252,1196400
2022-08-02,3000.000000,3020.000000,2970.000000,2980.000000,2979.958496,679500
2022-08-03,2980.000000,3000.000000,2980.000000,2990.000000,2989.958252,647000
2022-08-04,2990.000000,3040.000000,2990.000000,3010.000000,3009.958008,501900
2022-08-05,3010.000000,3030.000000,2990.000000,2990.000000,2989.958252,505400
2022-08-08,3000.000000,3010.000000,2970.000000,3000.000000,2999.958252,462700
2022-08-09,3040.000000,3100.000000,3000.000000,3020.000000,3019.957764,998400
2022-08-10,3020.000000,3030.000000,2980.000000,2980.000000,2979.958496,392200
2022-08-11,2990.000000,3010.000000,2980.000000,2980.000000,2979.958496,678700
